id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted
17938561961245834,2022-07-27,2,Weds,782,200,1,744,1,2,204,https://www.instagram.com/reel/CM15ALphrl7/,"Matcha Latte

#matcha #matchalatte #matchalover #matcharecipes #matchagreentea #latte #lattelove #lattegram #galulab #barista #baristalife #baristadaily #coffee #caffeineaddict",14,00
17915457761478099,2022-07-17,6,Sun,2295,182,0,2294,3,1,186,https://www.instagram.com/reel/CNCyaGAH-3a/,"Butterfly Pea Tea Latte 🦋 

-Milk
-Brown Sugar Cinnamon Syrup
-Ice
-Butterfly Pea Tea

#latte #gaulab #mixology #brewing #teatime #lattegram #lattelove #butterflypeaflower #butterflypeatea",9,16
18306237970020792,2022-07-14,3,Thurs,979,199,0,900,5,3,207,https://www.instagram.com/reel/CNFW6oznspc/,"Caramel Frappe 

-Ice
-Coffee
-Caramel
-Xanthan Gum
-Milk

#galulab #frappe #frappuccino #frappé #caramel #caramelfrappe #caramelcoffee #caramelfrappuccino #coffee #coffeelover #coffeetime #coffeeaddict",12,16
17946307523097890,2022-07-11,0,Mon,1056,248,4,974,7,8,267,https://www.instagram.com/reel/CNIr5iWnlJL/,"BPT Lemonade 🦋 🍋 

#bpt #butterflypeaflower #butterflypeatea #lemonade #mixology #lemon #lemondrink #galulab #drinkstagram #drinks",10,21
17863638440756387,2022-07-10,6,Sun,1951,201,2,1875,6,4,213,https://www.instagram.com/reel/CNLjJQXnNC4/,"Coffee Rum

-Coffee
-Rum
-Cinnamon Syrup
-Ice

#coffeerum #coffeedrink #rum #coffeelover #coffeemixology #mixology #rumlovers #galulab",8,16
17934016823483928,2022-07-10,6,Sun,993,235,4,937,5,5,249,https://www.instagram.com/reel/CNNXA0XnD_-/,"Pumpkin Pie Iced Latte

-Ice
-Cold Brew Concentrate
-Pumpkin Spice Syrup
-Milk

#pumpkinpie #pumpkinpiespice #pumpkinlatte #pumpkinspicelatte #pumpkinpielatte #latte #lattelove #icedlatte #icedlatteaddict",9,00
17950662472985346,2022-07-06,2,Weds,1314,272,3,1264,9,18,302,https://www.instagram.com/reel/CNPvdUdH1Vk/,"Strawberry Basil Mojito

-frozen strawberries 
-basil
-honey
-ice
-lemon
-rum
-soda

#galulab #mojito #mojitotime #strawberrymojito #strawberrybasilmojito #mixology #mixologist #mixologyart #bartender",9,17
17912564639584237,2022-07-05,1,Tues,1315,308,7,1207,14,13,342,https://www.instagram.com/reel/CNSKaN_nmyd/,"Blueberry Iced Latte 🫐 

-blueberry 
-sugar
-water
-ice
-milk
-cold brew

#galulab #coffee #coldbrew #coldbrewcoffee #blueberry #latte #coffeelover #latteartgram #milk",9,19
17950233376876203,2022-06-28,1,Tues,2463,252,4,2434,6,10,272,https://www.instagram.com/reel/CNUzAednOWE/,"Black Lavender Boba Tea🧋 

-boba
-ice
-lavender syrup
-black tea
-milk

#boba #galulab #bobatea #bobamilktea #blacktea #lavender #blackmilktea #milktea #tealover #bobatealover",10,22
18217133086176115,2022-06-15,2,Weds,907,173,8,843,3,0,184,https://www.instagram.com/reel/CNaErhdHC3E/,"Rum Sour 

-aquafaba
-lemon
-rum
-honey
-ice 
-flower bitters

#galulab #rumsour #rum #mixology #rumcocktails #whiskysour #mixologist #flordecaña #mountainelixirs #strongwatermountainelixirs",10,01
18179135635169713,2022-06-14,1,Tues,979,159,4,932,3,0,166,https://www.instagram.com/reel/CNch72snEUl/,"Vietnamese Coffee ☕️ 

-condensed milk
-coffee

#vietnamesecoffee #coffee #galulab #mixology #coffeelover #coffeetime #coffeeaddict #espresso #aeropress #condensedmilk @aeropress",10,13
17946202954986188,2022-05-28,5,Sat,2828,226,5,2768,9,1,241,https://www.instagram.com/reel/CNfgpUhnx9p/,"Michelada de Maracuya

-tajin rim
-ice
-lemon
-Worcestershire 
-hot sauce
-passionfruit juice
-lagger

#michelada #mixology #galulab #heineken #worcestershire #beer #micheladas #beerstagram #beerlover @heineken #beerme",10,09
18295086454019166,2022-05-10,1,Tues,959,191,3,918,5,1,200,https://www.instagram.com/reel/CNkZNaRndov/,"Peppermint Mocha Iced Latte 

-ice
-peppermint syrup
-chocolate sauce
-coffee

#peppermint #galulab #peppermintmocha #mintcoffee #coffee #mocha #coffeelover #coffeetime",8,22
17969481454581159,2022-04-27,2,Weds,3623,288,7,3566,23,24,342,https://www.instagram.com/reel/CNm1n7_nVVi/,"Color Changing Margarita 💙->💗

-Butterfly Pea Tea
-Honey
-Tequila
-Tajin Rim
-Ice
-Lemon

#margarita #margaritatime #butterflypeaflower #mixology #bartender #mixology #galulab",7,20
17981332972492013,2022-03-31,3,Thurs,2318,215,7,2307,11,2,235,https://www.instagram.com/reel/CNr9guRnl7x/,"Cinnamon Brown Sugar Boba Coffee

-boba
-cinnamon brown sugar syrup
-ice
-milk
-coffee

#cinnamonsugar #brownsugarboba #brownsugarmilktea #coffee #coffeelover #coffeetime #boba #bobatea #bobalife #cinnamonbrownsugar",10,16
18157651726227605,2022-03-26,5,Sat,706,144,4,689,4,2,154,https://www.instagram.com/reel/CNu1LPfniXB/,"Frozen Pineapple Daiquiri 🍍 

-frozen pineapple 
-xanthan gum
-honey
-lemon
-rum

#daiquiri #pineapple #galulab #frozendrinks #frozendaiquiri #rum #rumlovers #flordecaña #daiquiristogo #pineappledaiquiri",10,21
18284391091023563,2022-03-20,6,Sun,773,157,1,719,7,2,167,https://www.instagram.com/reel/CNxcbevnhhj/,"Maracuya Mojito

-Maracuya
-Honey
-Mint
-Ice
-Rum
-Lemon Juice
-Soda

#maracuya #mojito #galulab #mojitotime #mojitos #mojitodemaracuya #rum #rumlovers #flordecaña",9,16
17906632457381446,2022-03-18,4,Fri,2548,147,2,2501,7,6,162,https://www.instagram.com/reel/CN1BzE-nGlJ/,"Mango Jalapeño Margarita 🥭 

-mango
-jalapeño
-tequila
-honey
-lemon
-tajin rim
-ice

#margarita #galulab #mangomargarita #mangojalapeño #mangojalapenomargarita #margaritas #margaritatime #tequila #tequilacocktails",9,13
17911533833137315,2021-12-24,4,Fri,7824,199,3,7981,8,9,219,https://www.instagram.com/reel/COKtWiAHgtr/,"Rum Fashioned 🔥 

-ginger simple syrup
-ice
-rum 
-bitters
-flame citrus peal 

#galulab #oldfashioned #rum #mixology #mixologybar #bartender #rumlovers",7,17
17897948951510805,2021-12-12,6,Sun,2135,114,0,2071,4,1,119,https://www.instagram.com/reel/CO8a90Rn1j_/,"Ginger Matcha Boba Tea 🍵 🧋 

-hot water
-matcha
-ginger syrup
-boba
-ice 
-milk

#matcha #matchalatte #galulab #matchaicedlatte #boba #bobatea #ginger #gingertea #bobamilktea #milktea #bobalife",11,17
18196073101120807,2021-12-10,4,Fri,2244,137,4,2273,7,8,156,https://www.instagram.com/reel/CPpaBegHEdG/,"Macuá 🇳🇮 

-ice
-rum
-guava juice
-orange juice
-lime juice 

#macua #nicaraguanfood #ronflordecaña #ronflordecaña18años #flordecaña #rum #bartender #bartending",8,09
17899585106432834,2021-12-09,3,Thurs,879,81,0,864,3,0,84,https://www.instagram.com/reel/CQkR23pHBF-/,"Grand Cosmo 

-vodka
-grand marnier
-lime juice
-cranberry juice
-ice

#cosmo #cosmopolitan #grandmarnier @grandmarnierusa #bartender #mixologist #vodka @belvederevodka #belvedere",7,18
17978683819448470,2021-12-05,6,Sun,1387,42,1,1382,0,0,43,https://www.instagram.com/reel/CUKVxQ5Mv17/,Salted Honey Cream Coffee 🍯 🧂,0,22
18015623518353092,2021-12-02,3,Thurs,3470,80,2,3386,1,5,88,https://www.instagram.com/reel/CUV5dtrg5qv/,"Moscow Mule 

-ice
-vodka
-lime juice
-ginger beer",0,13
17882809127539362,2021-11-21,6,Sun,5824,211,0,5907,10,2,223,https://www.instagram.com/reel/CUh9dixs0eT/,"Paloma 🕊 

-tajin rim
-ice
-lime juice
-grapefruit soda

#paloma #fevertree @fevertree_usa #tequila #tequilamexico #palomacocktail #tequilalover",6,18
17988822931417406,2021-11-18,3,Thurs,6802,182,0,6894,10,10,202,https://www.instagram.com/reel/CVA6zy-DaWM/,"Tequila Michelada

-chamoy rim
-ice
-lime juice (forgot to film it)
-Worcestershire 
-salt
-hot sauce
-tequila
-beer
-tajin
-tarugos tamarindo con chile as a straw (bite the tip)",0,22
17934641362749588,2021-11-14,6,Sun,3315,66,1,3367,1,1,69,https://www.instagram.com/reel/CVLdLqJMtB6/,"Brown Sugar Ginger Boba Latte

-bobas
-brown sugar ginger syrup
-ice
-milk
-espresso shot",0,20
18009880600331634,2021-11-04,3,Thurs,4239,170,0,4291,6,17,193,https://www.instagram.com/reel/CV3UTajgyc_/,"We love our Paloma’s 💕🕊 Cant get enough of them! 

#paloma #palomacocktail #tequila #tequilathursday #tequilatequila @fevertreemixers #cocktails #mixology #mixologist #cocktailsofinstagram",9,18
18014450818337689,2021-10-14,3,Thurs,1133,31,0,1115,2,0,33,https://www.instagram.com/reel/CWbyBpzFZM_/,"Milk 🥛 Punch Piña 🍍 Colada 🥥 

-rum
-lime juice
-pineapple juice
-coconut water
-milk
Let it sit for at least 20 minutes 
Strain

#milkpunch #cocktails #milkpunchcocktail #pinacolada #cocktail #piñacolada #cocktailsofinstagram",7,15
